"id","level"
1001,0
1003,0
1005,0
1007,0
1009,0
1011,0
1013,0
1015,0
1017,1
1019,0
1021,0
1023,0
1025,0
1027,0
1029,1
1031,0
1033,0
1035,0
1037,0
1039,0
1041,0
1043,0
1045,0
1047,0
1049,0
1051,0
1053,0
1055,0
1057,0
1059,0
1061,0
1063,0
1065,0
1067,0
1069,0
1071,0
1073,0
1075,0
1077,0
1079,0
1081,0
1083,0
1085,0
1087,0
1089,0
1091,0
1093,0
1095,0
1097,0
1099,0
1101,0
1103,0
1105,0
1107,0
1109,0
1111,1
1113,0
1115,0
1117,0
1119,0
1121,0
1123,0
1125,0
1127,0
1129,0
1131,0
1133,0
2013,0
2016,0
2020,0
2050,0
2060,0
2068,0
2070,0
2090,0
2100,0
2110,0
2122,0
2130,0
2150,0
2164,0
2170,0
2180,0
2185,0
2188,0
2201,0
2220,0
2232,0
2240,0
2261,0
2270,0
2280,0
2282,0
2290,0
4001,5
4003,3
4005,5
4007,4
4009,3
4011,2
4012,4
4013,4
4015,4
4017,5
4019,4
4021,4
4023,3
4025,4
4027,4
5001,0
5003,0
5005,1
5007,2
5009,2
5011,0
5013,0
5015,2
5017,0
5019,0
5021,0
5023,0
5025,0
5027,0
5029,1
5031,0
5033,2
5035,0
5037,0
5039,0
5041,0
5043,0
5045,0
5047,2
5049,1
5051,0
5053,0
5055,0
5057,0
5059,0
5061,0
5063,0
5065,1
5067,0
5069,0
5071,2
5073,0
5075,0
5077,0
5079,0
5081,0
5083,2
5085,0
5087,2
5089,1
5091,0
5093,0
5095,0
5097,0
5099,0
5101,2
5103,0
5105,0
5107,0
5109,0
5111,0
5113,0
5115,1
5117,0
5119,0
5121,0
5123,0
5125,0
5127,1
5129,1
5131,2
5133,0
5135,0
5137,1
5139,0
5141,1
5143,2
5145,0
5147,0
5149,1
6001,1
6003,1
6005,1
6007,2
6009,1
6011,2
6013,2
6015,1
6017,1
6019,3
6021,2
6023,2
6025,4
6027,4
6029,4
6031,2
6033,2
6035,2
6037,3
6039,2
6041,2
6043,2
6045,2
6047,1
6049,3
6051,3
6053,1
6055,2
6057,1
6059,3
6061,1
6063,2
6065,4
6067,1
6069,1
6071,4
6073,4
6075,2
6077,1
6079,2
6081,1
6083,2
6085,1
6087,1
6089,2
6091,2
6093,2
6095,2
6097,2
6099,1
6101,2
6103,2
6105,2
6107,3
6109,2
6111,3
6113,2
6115,2
8001,4
8003,4
8005,4
8007,4
8009,4
8011,5
8013,3
8014,3
8015,4
8017,4
8019,4
8021,4
8023,5
8025,5
8027,5
8029,4
8031,4
8033,4
8035,4
8037,4
8039,4
8041,4
8043,5
8045,4
8047,4
8049,4
8051,4
8053,4
8055,5
8057,4
8059,4
8061,4
8063,4
8065,4
8067,4
8069,3
8071,5
8073,4
8075,4
8077,4
8079,4
8081,4
8083,5
8085,4
8087,3
8089,5
8091,4
8093,4
8095,4
8097,4
8099,4
8101,5
8103,4
8105,4
8107,4
8109,4
8111,4
8113,4
8115,4
8117,4
8119,4
8121,4
8123,4
8125,4
9001,1
9003,1
9005,1
9007,1
9009,1
9011,1
9013,1
9015,1
10001,3
10003,3
